id,book,chapter,verse,text
53002009,2 Thessalonians,2,9,"Even him, whose coming is after the working of Satan with all power and signs and lying wonders,"
53002010,2 Thessalonians,2,10,"And with all deceivableness of unrighteousness in them that perish; because they received not the love of the truth, that they might be saved."
53002011,2 Thessalonians,2,11,"And for this cause God shall send them strong delusion, that they should believe a lie:"
53002012,2 Thessalonians,2,12,"That they all might be damned who believed not the truth, but had pleasure in unrighteousness."
53002013,2 Thessalonians,2,13,"But we are bound to give thanks alway to God for you, brethren beloved of the Lord, because God hath from the beginning chosen you to salvation through sanctification of the Spirit and belief of the truth:"
53002014,2 Thessalonians,2,14,"Whereunto he called you by our gospel, to the obtaining of the glory of our Lord Jesus Christ."
53002015,2 Thessalonians,2,15,"Therefore, brethren, stand fast, and hold the traditions which ye have been taught, whether by word, or our epistle."
53002016,2 Thessalonians,2,16,"Now our Lord Jesus Christ himself, and God, even our Father, which hath loved us, and hath given us everlasting consolation and good hope through grace,"
53002017,2 Thessalonians,2,17,"Comfort your hearts, and stablish you in every good word and work."
53003001,2 Thessalonians,3,1,"Finally, brethren, pray for us, that the word of the Lord may have free course, and be glorified, even as it is with you:"
53003002,2 Thessalonians,3,2,And that we may be delivered from unreasonable and wicked men: for all men have not faith.
53003003,2 Thessalonians,3,3,"But the Lord is faithful, who shall stablish you, and keep you from evil."
53003004,2 Thessalonians,3,4,"And we have confidence in the Lord touching you, that ye both do and will do the things which we command you."
53003005,2 Thessalonians,3,5,"And the Lord direct your hearts into the love of God, and into the patient waiting for Christ."
53003006,2 Thessalonians,3,6,"Now we command you, brethren, in the name of our Lord Jesus Christ, that ye withdraw yourselves from every brother that walketh disorderly, and not after the tradition which he received of us."
53003007,2 Thessalonians,3,7,For yourselves know how ye ought to follow us: for we behaved not ourselves disorderly among you;
53003008,2 Thessalonians,3,8,"Neither did we eat any man's bread for nought; but wrought with labour and travail night and day, that we might not be chargeable to any of you:"
53003009,2 Thessalonians,3,9,"Not because we have not power, but to make ourselves an ensample unto you to follow us."
53003010,2 Thessalonians,3,10,"For even when we were with you, this we commanded you, that if any would not work, neither should he eat."
53003011,2 Thessalonians,3,11,"For we hear that there are some which walk among you disorderly, working not at all, but are busybodies."
53003012,2 Thessalonians,3,12,"Now them that are such we command and exhort by our Lord Jesus Christ, that with quietness they work, and eat their own bread."
53003013,2 Thessalonians,3,13,"But ye, brethren, be not weary in well doing."
53003014,2 Thessalonians,3,14,"And if any man obey not our word by this epistle, note that man, and have no company with him, that he may be ashamed."
53003015,2 Thessalonians,3,15,"Yet count him not as an enemy, but admonish him as a brother."
53003016,2 Thessalonians,3,16,Now the Lord of peace himself give you peace always by all means. The Lord be with you all.
53003017,2 Thessalonians,3,17,"The salutation of Paul with mine own hand, which is the token in every epistle: so I write."
53003018,2 Thessalonians,3,18,The grace of our Lord Jesus Christ be with you all. Amen.
